StatArea,CF_MgmtDist,SF_MgmtArea,Subarea
466004,PWSE,PWS,PWS Outside
466005,PWSE,PWS,PWS Outside
475900,,PWS,PWS Outside
475931,,PWS,PWS Outside
475932,PWSW,PWS,PWS Outside
475934,PWSW,PWS,PWS Outside
476001,,PWS,PWS Outside
476002,PWSW,PWS,PWS Outside
485901,,PWS,PWS Outside
485931,,PWS,PWS Outside
485935,PWSW,PWS,PWS Outside
486002,PWSW,PWS,PWS Outside
475933,PWSI,PWS,Western PWS Inside
476003,PWSI,PWS,Western PWS Inside
476004,PWSI,PWS,Western PWS Inside
476005,PWSI,PWS,Western PWS Inside
476006,PWSI,PWS,Western PWS Inside
476007,PWSI,PWS,Western PWS Inside
476008,PWSI,PWS,Western PWS Inside
476009,PWSI,PWS,Western PWS Inside
476031,PWSI,PWS,Western PWS Inside
476032,PWSI,PWS,Western PWS Inside
476033,PWSI,PWS,Western PWS Inside
476034,PWSI,PWS,Western PWS Inside
476035,PWSI,PWS,Western PWS Inside
476036,PWSI,PWS,Western PWS Inside
476101,PWSI,PWS,Western PWS Inside
476102,PWSI,PWS,Western PWS Inside
485932,PWSI,PWS,Western PWS Inside
486001,PWSI,PWS,Western PWS Inside
486003,PWSI,PWS,Western PWS Inside
486004,PWSI,PWS,Western PWS Inside
486005,PWSI,PWS,Western PWS Inside
486031,PWSI,PWS,Western PWS Inside
486032,PWSI,PWS,Western PWS Inside
486033,PWSI,PWS,Western PWS Inside
486034,PWSI,PWS,Western PWS Inside
486100,PWSI,PWS,Western PWS Inside
